序号,UP主名称,作品ID,作品标题,发布时间,获赞数,分享数,评论数,投币数,收藏数,弹幕数,播放数
1,原神,BV1Pm421g7rG,《原神》活动过场动画-「荒泷生命摇滚堇瓜飞行大合唱」,2024-05-13 18:00:00,58688,5089,3430,15895,10255,2425,510869
2,原神,BV1rt421c795,《原神》过场动画-「道别」,2024-04-30 18:00:36,78272,3413,2547,16892,13650,1331,767406
3,原神,BV1mH4y1G7Ua,《原神》过场动画-「处刑」,2024-04-29 18:05:36,77977,4078,7402,14383,14365,3417,982667
4,原神,BV13w4m117CT,《原神》过场动画-「两界之火的遗烬」,2024-04-29 18:00:36,48826,1265,1921,7800,7330,550,528606
5,原神,BV1Lr42137pp,「终末的赦祷颂-演绎版」：《原神》「光与影的诀别」MV,2024-04-26 12:00:00,125200,9927,3163,45693,27776,2393,2063515
6,原神,BV1KD421n7PG,《原神》EP - 灯影柔寂之夜,2024-04-25 12:00:00,50035,954,1409,5766,6818,733,425611
7,原神,BV1Sr421G7ap,《原神》拾枝杂谈-「阿蕾奇诺：厄影余辉」,2024-04-24 12:00:00,67204,1998,3586,9548,7707,2769,730006
8,原神,BV1Nr42137s3,《原神》角色演示-「阿蕾奇诺：摇篮曲」,2024-04-23 12:00:46,248765,46716,10185,105305,62214,10634,3823147
9,原神,BV18t421P7u7,《原神》阿蕾奇诺角色PV——「安然入睡」,2024-04-18 12:00:46,265927,33073,10178,87854,69832,11442,4332805
10,原神,BV1xZ421Y7a1,《原神》动画短片——「烬中歌」,2024-04-17 12:00:46,500061,139786,22377,308056,196326,39656,6687781
11,原神,BV1sD421p7Tm,《原神》动画短片——「烬中歌」即将发布,2024-04-16 12:00:00,319687,46134,9908,47326,33967,4525,2748874
12,原神,BV1rH4y1K7jS,《原神》4.6版本「两界为火，赤夜将熄」前瞻特别节目,2024-04-12 21:20:00,80058,3086,4330,14093,14926,16409,1499777
13,原神,BV1RC411G7oH,《原神》4.6版本PV：「两界为火，赤夜将熄」,2024-04-12 20:40:46,168368,19352,8895,43233,33377,11351,3632620
14,原神,BV1VZ421B7nU,《原神》EP - 雨濯万象之息,2024-04-02 12:00:00,83239,3572,5763,16009,10920,4333,876022
15,原神,BV1ky421v7N5,《原神》剧情PV-「裁锦织夜」,2024-03-18 18:00:08,77854,3073,3631,22033,15495,1789,781354
16,原神,BV11K421s7J8,《原神》拾枝杂谈-「千织：锦馨满袖」,2024-03-13 12:00:00,58211,1293,2669,6798,5362,1598,611463
17,原神,BV19D42177u9,《原神》角色演示-「千织：绮意千纫」,2024-03-12 12:00:09,151257,15154,6129,37768,24618,2793,1882003
18,原神,BV15H4y1j7xF,《原神》千织角色PV——「绯织一心」,2024-03-07 12:00:59,212463,20363,10343,46547,44645,7285,2671462
19,原神,BV1zK421t7pP,《原神》4.5版本「铓锋锦间裁」前瞻特别节目,2024-03-01 21:00:00,79379,2361,5542,9583,8410,8909,1369507
20,原神,BV1XJ4m1e77G,《原神》4.5版本PV：「铓锋锦间裁」,2024-03-01 20:30:30,106720,4455,5624,19408,18075,3256,2629802
21,原神,BV1UC411W72k,《原神》寻味之旅——「璃月食集」第七期,2024-02-26 12:00:57,81474,3672,2122,18896,9844,3290,619420
22,原神,BV1qF4m1T7t9,瑞兽登楼——《原神》嘉明创作的幕后,2024-02-10 12:00:00,79855,3062,2851,25162,10460,5060,819664
23,原神,BV19p421d7A8,《原神》彩鹞栉春风活动过场动画-「飞鹞问风」,2024-02-09 18:00:01,138424,16693,9272,75308,42071,15369,1234896
24,原神,BV15J4m1b7WW,《原神》拾枝杂谈-「嘉明：霓舞烟霞」,2024-02-01 12:00:00,59999,1324,1998,5228,5674,2056,585386
25,原神,BV1gv421i7ad,《原神》拾枝杂谈-「闲云：云顶星月」,2024-01-31 12:00:00,72903,2101,4080,8134,6720,3568,820930
26,原神,BV1R2421w7pR,《原神》角色演示-「闲云：逸风逍遥」,2024-01-30 12:00:32,209598,29296,10984,58939,38750,15175,2747910
27,原神,BV1rC4y167Vw,《原神》角色演示-「嘉明：吉彩高照」,2024-01-29 12:00:32,163350,19242,5807,30950,25910,9852,1897010
28,原神,BV18a4y1k78p,《原神》闲云角色PV——「玄巧灵心」,2024-01-25 12:00:34,263788,34613,14164,73542,57093,27624,3696610
29,原神,BV1aT4y1b7yA,《原神》提瓦特风尚·衣装PV - 寒月浸霓裳,2024-01-24 12:00:00,127205,14107,9589,22328,15262,10830,1463469
30,原神,BV1be41117NE,《原神》定格动画-「瑞兽祥闻」,2024-01-20 12:00:00,151088,6563,10786,23270,19804,8721,1889693
31,原神,BV1UK411e7kn,《原神》4.4版本「彩鹞栉春风」前瞻特别节目,2024-01-19 21:50:00,109676,5049,18601,23647,17433,44436,2106424
32,原神,BV1yK411e7xJ,原来又是一年,2024-01-19 21:15:31,53938,1782,1864,5723,4059,1730,467790
33,原神,BV1rV411X7FK,《原神》4.4版本PV：「彩鹞栉春风」,2024-01-19 20:50:31,172789,20774,23154,49418,45495,14624,4993020
34,原神,BV1xa4y1m7AS,《原神》「流光拾遗之旅」——尘世篇·金银细工,2024-01-12 12:00:00,91245,8343,2463,25871,10319,3153,712664
35,原神,BV1SN4y1v7k8,《原神》拾枝杂谈-「夏沃蕾：遵行为要」,2024-01-09 18:00:00,48789,961,1837,4888,4282,1488,488833
36,原神,BV16t4y1d7XE,【刘欢】原神×三星堆博物馆联动推广曲《青铜》,2024-01-09 12:00:34,169571,27298,7191,87045,40289,5610,1321784
37,原神,BV1bW4y1P7Qk,《原神》七圣召唤亚洲邀请赛宣传片-「决斗，即将上演！」,2024-01-05 18:00:00,48732,3488,1719,5191,4848,800,547207
38,原神,BV1ZT4y1W7LR,《原神》角色演示-「夏沃蕾：弹无虚发」,2024-01-05 12:00:52,111177,4642,2381,16033,11890,599,1203057
39,原神,BV12e411v7oR,《原神》寻味之旅——「璃月食集」第六期,2024-01-03 12:00:55,102505,4224,2360,23941,11113,3418,772517
40,原神,BV1Qb4y137Ab,《原神》蔷薇与铳枪活动过场动画-「两个铳枪手」,2023-12-27 18:00:08,97866,5113,3877,23123,18495,2522,1014017
41,原神,BV1ZN4y1x74v,《原神》线上音乐会2023 - 无际之旅的旋律,2023-12-22 20:00:00,127356,13589,4137,81444,52874,22466,1086827
42,原神,BV1Ri4y1a7nU,原神×三星堆博物馆联动短片-「古物见闻」,2023-12-20 18:00:40,92618,4865,2308,23957,15845,2440,900688
43,原神,BV1AW4y1F7ZL,《原神》拾枝杂谈-「娜维娅：新航的启幕」,2023-12-20 12:00:00,68646,1570,3116,9642,6264,2375,713700
44,原神,BV1pG411Y7Jv,《原神》角色演示-「娜维娅：非官方追缉」,2023-12-19 12:00:17,231598,36241,8148,83562,47430,10361,2757724
45,原神,BV1si4y1a7Lz,原神×三星堆博物馆联动PV-「仰观千秋 俯察万象」,2023-12-18 12:00:16,206867,24310,5476,69770,41223,9327,1936783
46,原神,BV1Rj411p7b1,《原神交响音乐会2023》上海场官方录播完整版,2023-12-16 12:00:16,238962,47623,9034,199941,137412,59112,3319283
47,原神,BV1hu4y1T7wz,《原神》娜维娅角色PV——「特邀嘉宾」,2023-12-14 12:00:16,210749,21520,8150,59859,33424,7080,2676897
48,原神,BV1pN41157Ah,原神音乐会2023 - 无际之旅的旋律（预告片）,2023-12-09 12:05:00,56916,2010,1528,6412,4558,470,512933
49,原神,BV1zQ4y1V7y5,《原神》4.3版本「蔷薇与铳枪」前瞻特别节目回顾,2023-12-08 21:35:00,81039,2521,3266,14151,12861,19067,1457959
50,原神,BV1GC4y1X77i,《原神》4.3版本PV：「蔷薇与铳枪」,2023-12-08 20:50:36,198140,16000,8536,44166,37625,11495,4581841
51,原神,BV1AQ4y1V7bV,《原神》「流光拾遗之旅」——尘世篇·蛋雕,2023-12-07 12:00:00,107233,4042,2067,35899,11082,2861,1127251
52,原神,BV1Zw411P7uK,水的轻语——《原神》「轻涟」系列创作的幕后,2023-11-29 12:00:00,194240,10555,6390,94026,36839,8977,1761953
53,原神,BV1vu4y1b7Y9,《原神》过场动画-「罪人的终幕」,2023-11-17 18:00:53,276309,26390,11100,184375,103131,11663,2989718
54,原神,BV12w411W7i2,《原神》过场动画-「吞星之鲸」,2023-11-15 18:00:55,125746,5761,4788,27839,21215,3397,1430406
55,原神,BV1pa4y1S77e,《原神》「流光拾遗之旅」——尘世篇·麦秆画,2023-11-13 12:39:28,110155,4836,2341,40366,12083,3357,1082584
56,原神,BV1ng4y197g4,【阿云嘎】原神剧情曲《轻涟》（法语演绎版）,2023-11-12 12:10:00,172830,19657,8756,56539,36862,7661,2469995
57,原神,BV1cH4y1B7rH,【谭维维】原神剧情曲《轻涟》（中文演绎版）,2023-11-12 12:00:00,180714,14768,5405,63074,42542,5051,2584405
58,原神,BV1eG41197wb,【胡夏】原神剧情曲《轻涟》（中文演绎版）,2023-11-11 12:10:00,212639,19700,6652,79389,50091,4947,2681634
59,原神,BV1wC4y1n7Bu,【尚雯婕】原神剧情曲《轻涟》（法语演绎版）,2023-11-11 12:00:00,183189,15975,4955,64940,43360,3404,2402739
60,原神,BV17N411g7Ft,《原神》游戏剧情EP「轻涟」MV,2023-11-10 12:00:00,390062,54533,10223,252950,143844,5942,7232538
61,原神,BV1Jg4y197YW,《原神》剧情PV-「轻涟」,2023-11-09 18:00:08,599024,109708,23715,500115,321472,27509,12399757
62,原神,BV1Jc411R7gi,《原神》拾枝杂谈-「夏洛蒂：独家报道！」,2023-11-09 12:00:00,51304,636,2044,3733,3796,1225,452251
63,原神,BV1XQ4y1n7hp,《原神》拾枝杂谈-「芙宁娜：镜中影」,2023-11-08 12:00:00,126002,2842,9590,24936,19263,5474,1618462
64,原神,BV1ZG411X71k,《原神》角色演示-「芙宁娜：世界皆舞台」,2023-11-07 12:00:11,638355,123990,50497,445473,236107,48905,12264939
65,原神,BV1EN411G7km,《原神》EP - 百草余芳之忆,2023-11-06 12:00:00,66334,1680,2279,6352,5230,1686,591095
66,原神,BV1oa4y1X7Zt,《原神》芙宁娜角色PV——「戏中人」,2023-11-05 12:00:17,428667,61583,17575,196287,109663,30618,7338132
67,原神,BV1su4y1776b,《原神》角色演示-「夏洛蒂：爆炸新闻！」,2023-11-04 12:00:17,139378,8164,3981,25417,18610,3243,1542315
68,原神,BV1EM411Q7pS,《原神》4.2版本「罪人舞步旋」前瞻特别节目,2023-11-03 21:50:00,97689,3444,3558,18106,21285,18733,1787723
69,原神,BV1Cc411d7EX,《原神》4.2版本PV：「罪人舞步旋」,2023-11-03 21:00:17,320001,64841,17356,111321,71782,23307,8497859
70,原神,BV12N411x7pe,《原神》寻味之旅——「璃月食集」第五期,2023-10-25 12:00:34,121695,8381,4279,34637,17838,5360,1412976
71,原神,BV1Eu4y1p7EU,《原神》剧情PV-「清泉之心」,2023-10-18 18:00:33,185119,24029,7539,79156,55509,3459,1940405
72,原神,BV1YG41127GD,《原神》拾枝杂谈-「莱欧斯利：今时新规」,2023-10-17 18:00:00,61017,1846,2975,7044,5512,2212,689766
73,原神,BV1H34y1g7oE,《原神》角色演示-「莱欧斯利：即兴发挥」,2023-10-16 12:00:37,245853,61286,13391,88054,51251,11643,3509953
74,原神,BV1ou411K7QC,《原神》莱欧斯利角色PV——「必要流程」,2023-10-11 12:00:47,208099,35119,7752,56472,34637,7184,2517100
75,原神,BV1o84y1U7jC,旅人的徜徉——《原神》枫丹音乐的幕后,2023-10-04 12:00:00,74022,3192,2859,23102,9271,3490,1141302
76,原神,BV1kw411m7TV,《原神》过场动画-「为时尚早」,2023-10-03 12:00:05,173257,19052,7076,47684,39266,8644,2216803
77,原神,BV1uu411g7eA,「原神交响音乐会2023——上海梅奔场」精彩回顾,2023-10-02 12:10:00,77973,2889,2160,10536,7617,934,671892
78,原神,BV1DC4y157Jc,《原神》「流光拾遗之旅」——仙闻篇·顾绣,2023-09-29 12:00:00,94498,2945,1874,26509,10112,2657,911358
79,原神,BV1iu4y167di,《原神》提瓦特冒险纪念视频：旅行三周年手札,2023-09-28 12:00:00,110609,2868,3278,28701,17842,7004,872555
80,原神,BV1bp4y1F7wQ,《原神》拾枝杂谈-「那维莱特：古世行律」,2023-09-27 12:00:00,83111,2535,4738,9775,7203,3162,1088403
81,原神,BV1FC4y1f7hW,《原神》角色演示-「那维莱特：万水归一」,2023-09-26 12:00:14,247140,46481,10870,88270,48083,13339,3665335
82,原神,BV1iP411b7fH,《原神》那维莱特角色PV——「水中之眼」,2023-09-21 12:00:23,272763,47963,10988,80869,49709,13775,3621339
83,原神,BV18h4y1A7GF,《原神》三周年配音演员祝福-「来自幕后的心意」,2023-09-17 12:00:00,190218,8634,5157,61489,50677,24206,1699314
84,原神,BV1pF411U7mn,「咏歌与凯旋」：《原神》枫丹篇OST宣传MV,2023-09-16 12:00:00,87621,5954,2657,24125,17697,1708,1671804
85,原神,BV1bh4y1e7Ky,《原神》4.1版本「向深水中的晨星」前瞻特别节目,2023-09-15 21:20:00,128267,5349,4993,39123,38571,30459,2143271
86,原神,BV1ch4y1e75x,《原神》三周年玩家群像短片——守候的足迹,2023-09-15 21:05:00,147987,10117,3105,45746,23841,3302,1096369
87,原神,BV1yu4y167ew,《原神》4.1版本PV：「向深水中的晨星」,2023-09-15 20:55:33,270129,51765,14456,90868,54587,26393,8256985
88,原神,BV13h4y1Y7xD,原神×隋文静/韩聪 - 合作幕后,2023-09-13 13:12:40,80874,2630,1801,11066,4430,1531,735634
89,原神,BV1KN4y1X7DB,原神×隋文静/韩聪 - 以花样滑冰演绎「冰风组曲」,2023-09-13 12:00:00,273504,23290,4839,67656,31131,7449,2551279
90,原神赛事,BV1jz4y1578E,《原神》影幻杯宣传片 - 「接下来，是我的回合！」,2023-09-12 12:00:00,61918,2701,2110,4325,3363,1068,949864
91,原神,BV1MP411a7oM,《原神》拾枝杂谈-「菲米尼：机巧的余温」,2023-09-05 18:00:00,54711,1283,2703,4945,3978,1713,527905
92,原神,BV16p4y1j7mx,《原神》角色演示-「菲米尼：海露幽响」,2023-09-01 12:00:58,128711,8541,4187,14765,14138,3497,1418676
93,原神,BV1FF411y72Z,《原神》过场动画——「暴风骤雨之际」,2023-08-25 18:00:09,150251,8019,8044,22314,18242,4638,1793145
94,原神,BV1Bp4y1E73a,《原神》「流光拾遗之旅」——仙闻篇·龙泉青瓷,2023-08-24 12:00:00,179580,14821,6290,71080,22976,9289,1403189
95,原神,BV1Vr4y1R7Z8,《原神》枫丹实机画面展示片｜Gamescom 2023,2023-08-23 12:00:00,161907,5930,4977,21838,14642,2660,1405246
96,原神,BV1h841197yq,《原神》剧情PV-「荣耀归于传承」,2023-08-18 18:00:47,180652,10235,7108,46671,42013,5157,1988183
97,原神,BV1Qp4y1g7hD,《原神》拾枝杂谈-「琳妮特：影中破伪」,2023-08-17 12:00:00,90878,1636,3594,7900,7722,2158,941534
98,原神,BV1Y8411X7Yy,《原神》拾枝杂谈-「林尼：辉下辨真」,2023-08-16 12:00:00,84269,2682,4498,8041,7319,3278,910291
99,原神,BV18u4y197uv,《原神》角色演示-「琳妮特：箱中窥猫」,2023-08-15 12:05:54,248393,20625,7175,42897,34978,7270,3283101
100,原神,BV1ij411B7Rt,《原神》角色演示-「林尼：帽底匿迹」,2023-08-15 12:00:54,248319,31856,12123,63258,49738,12547,4142562
101,原神,BV1y94y1k7d3,「原神☆FES」回顾视频,2023-08-13 17:56:04,101409,4742,3917,12207,10337,1962,976093
102,原神,BV1k44y1c7Ex,《原神》2023交响音乐会CM短片,2023-08-13 14:30:00,439626,70527,13503,140650,142526,19107,3314818
103,原神,BV1MV411372M,《原神》林尼角色PV——「掌中天幕」,2023-08-10 12:00:03,258496,33736,13017,57642,35725,16531,3373617
104,原神,BV17h4y1r7C1,《原来你也玩原神》番外篇——小嘉,2023-08-05 12:15:00,106238,7681,2526,8418,7501,4550,1290003
105,原神,BV1Q14y1B7es,《原神》4.0宣传短片：指尖奇旅,2023-08-05 12:10:00,120608,4899,2393,12191,8660,3235,1396756
106,原神,BV1Bu4y117aj,《原神》枫丹交响音乐现场,2023-08-05 12:00:00,199594,28301,11395,82621,61880,9768,4108040
107,原神,BV1Zx4y1X7qC,《原神》4.0版本「仿若无因飘落的轻雨」前瞻特别节目,2023-08-04 21:00:00,166932,10791,11271,46029,41093,59725,2721092
108,原神,BV1pu411p7hY,《原神》4.0版本PV：「仿若无因飘落的轻雨」,2023-08-04 20:45:13,363363,68491,24913,118167,73831,40578,8357695
109,原神,BV1ax4y197cP,《原神》EP - 逆风散羽之别,2023-07-25 12:00:00,167709,14909,28148,57178,45458,16029,1732405
110,原神,BV1W8411D7J3,原神☆FES 活动PV,2023-07-11 12:00:00,227310,34748,10064,25483,23315,8746,2738086
111,原神,BV1ss4y1k7CD,《原神》序曲PV——「致终幕的欢宴」,2023-07-03 12:00:22,845665,374785,66453,413189,201943,76260,14486447
112,原神,BV12X4y1W7sT,《原神》提瓦特风尚·衣装PV - 巧戏一幕,2023-06-24 12:00:00,161146,16522,5894,18929,16093,3542,2000919
113,原神,BV1Tz4y1H7hX,《原神》3.8版本「清夏！乐园？大秘境！」前瞻特别节目,2023-06-23 21:15:00,114665,6849,8509,20034,12339,20955,1952752
114,原神,BV1ju41187cv,《原神》3.8版本PV：「清夏！乐园？大秘境！」,2023-06-23 20:30:22,186402,17285,13918,37445,23268,8414,11065489
115,原神,BV12a4y1w77i,《原神》风物集短片-璃月篇,2023-06-21 12:00:54,232865,19401,6538,90327,51125,9927,1822980
116,原神,BV1hh411T7WN,《原神》EP-谛思归悟之境,2023-06-13 12:00:00,80678,3942,5283,14190,10773,3757,752041
117,原神,BV1fs4y1i7wm,《原神》「神工天巧·宝录之章」玩法介绍,2023-06-07 12:00:00,60699,2326,3426,4552,2991,1294,643348
118,原神,BV1GM4y1e7rp,《原神》剧情PV-「牌中秘宝」,2023-06-02 18:00:27,87938,3263,5394,15674,10683,1647,946896
119,原神,BV1Zh4y1x7RL,《原神》过场动画-「流星知愿」,2023-05-26 18:00:05,237337,29673,29968,173767,90712,10389,2422379
120,原神,BV1gL411z7Kz,《原神》拾枝杂谈-「绮良良：呜喵疾行」,2023-05-24 12:00:00,84265,3282,5006,9572,7645,3159,986025
121,原神,BV1sP411d7Jc,《原神》角色演示-「绮良良：歧尾万巷行」,2023-05-19 12:00:13,252895,38636,10954,49582,30454,7269,3632542
122,原神,BV1zm4y1b7FW,《原神》3.7版本「决斗！召唤之巅！」前瞻特别节目,2023-05-13 21:10:00,84958,3609,7538,11474,8565,15808,1688034
123,原神,BV1KV4y1r7WE,科颜氏×原神联动PV-「巡林奇遇，自在净颜」,2023-05-13 20:45:00,76703,7180,3938,5019,6809,1592,892948
124,原神,BV1MM4y1t7v1,《原神》3.7版本PV：「决斗！召唤之巅！」,2023-05-13 20:30:13,171633,13928,21470,33499,25866,10887,5575693
125,原神,BV1oP411y7wZ,《原神》盛典与慧业活动过场动画-「荣冕」,2023-05-05 18:00:56,98344,5363,73135,22768,22884,3502,1203508
126,原神,BV1Vh411L7st,《原神》剧情PV-「长生」,2023-05-04 18:00:57,133283,7661,6805,30901,21187,3478,1341000
127,原神,BV19s4y1g7KC,《原神》拾枝杂谈-「卡维：宏愿迢迢」,2023-05-03 12:00:00,64813,1278,4700,8310,6438,1867,641664
128,原神,BV1MX4y1U7Sb,《原神》拾枝杂谈-「白术：良药知时」,2023-05-02 18:00:00,63599,1483,4062,6470,4622,2485,609503
129,原神,BV1WM411G7QZ,《原神》角色演示-「白术：治则求本」,2023-05-01 12:00:01,172317,19441,9039,37741,23201,9687,2136155
130,原神,BV1MT411H7ia,《原神》角色演示-「卡维：忱挚织穹」,2023-04-28 12:00:32,177640,19268,10351,39294,30170,8785,2346641
131,原神,BV1oX4y1B76Y,《原神》白术角色PV——「良方难觅」,2023-04-26 12:00:07,253659,30151,9086,48990,30775,9433,3084432
132,原神,BV1zM4y1h7A3,《原神》过场动画-「归乡」,2023-04-21 12:00:38,123507,5263,9520,29148,17687,2532,1311274
133,原神,BV1Xh4y1H72Q,「三千娑世御咏歌-演绎版」：《原神》须弥2 OST宣传MV,2023-04-19 12:00:00,322631,55721,15024,197162,122838,21958,5500721
134,原神,BV1Uo4y1L7ef,《原神》寻味之旅——「璃月食集」第四期,2023-04-17 12:05:06,191521,20651,6340,77091,35597,10895,1628169
135,原神,BV1dh411g7a9,《原神》EP - 四时旋舞之熙,2023-04-12 12:00:00,82614,2756,3931,16913,9951,2686,851957
136,原神,BV1wm4y1m7DC,《原神》EP - 如风如露之思,2023-04-11 12:00:00,171934,11328,12372,41906,25152,8272,1829051
137,原神,BV1R24y1L7DN,《原神》3.6版本「盛典与慧业」前瞻特别节目,2023-03-31 21:10:00,100289,4260,5268,13989,9758,18565,1715315
138,原神,BV1Ds4y1J7n3,《原神》3.6版本PV：「盛典与慧业」,2023-03-31 20:35:16,189396,15848,12760,38171,28930,13985,6647989
139,原神,BV1ix4y1w7Vo,《原神》拾枝杂谈-「米卡：银星之伴」,2023-03-21 18:00:00,72138,2369,3706,6772,5044,2609,796773
140,原神,BV1Sg4y1s7Qp,《原神》EP - 春露漫散之虹,2023-03-20 12:00:00,182952,16118,5864,45725,25658,8561,1728611
141,原神,BV1PM4y1k7jZ,《原神》角色演示-「米卡：绘羽的领行」,2023-03-17 12:00:21,175742,18806,7363,21130,15763,5375,2071557
142,原神,BV1z84y1P7FY,《原神》剧情PV-「魔女的茶会」,2023-03-07 18:00:02,217365,22887,12713,45535,34148,5036,2514754
143,原神,BV1m24y1b7VQ,《原神》拾枝杂谈-「迪希雅：热沙的赤情」,2023-03-01 12:00:00,88433,2992,4560,10426,6102,3032,1023734
144,原神,BV1Fo4y1a7Q9,《原神》角色演示-「迪希雅：炎狮灼烁」,2023-02-28 12:00:00,208625,32470,9134,46941,24487,7133,2754341
145,原神,BV1ys4y1j76C,《原神》EP - 掬尘熠金之梦,2023-02-27 12:00:00,93686,6787,4938,12584,9917,2594,919769
146,原神,BV1vs4y1b7rU,《原神》迪希雅角色PV——「沙际晨光」,2023-02-23 12:00:47,325697,47778,12558,96679,38583,7251,3496429
147,原神,BV1zj411P717,《原神》寻味之旅——「璃月食集」第三期,2023-02-21 12:00:00,165329,12266,5212,45252,19931,4532,1512085
148,原神,BV1dG4y1P7Pq,《原神》3.5版本「风花的呼吸」前瞻特别节目,2023-02-17 21:35:00,103979,4567,9719,15151,11572,18452,1773549
149,原神,BV1ZM4y1f7FH,《原神》3.5版本PV：「风花的呼吸」,2023-02-17 20:45:01,196759,16169,17094,36820,23886,10234,6128744
