序号,UP主名称,作品ID,作品标题,发布时间,获赞数,分享数,评论数,投币数,收藏数,弹幕数,播放数
150,原神,BV1KG4y1T76A,《原神》EP - 拈骰冥思之夜,2023-02-07 12:00:00,172946,10305,8440,32659,14738,10122,1759474
151,原神,BV1FY411Q7MX,《原神》「流光拾遗之旅」——仙闻篇·内画,2023-01-28 12:00:00,215188,14020,7952,87838,25347,6173,1582773
152,原神,BV11R4y187kj,《原神》「流光拾遗之旅」——仙闻篇·木版年画,2023-01-24 12:00:00,239014,17135,8228,100091,29797,6345,1622699
153,原神,BV1jR4y1Y76v,《原神》海灯节CM短片：明霄幻梦,2023-01-22 18:00:51,629333,129927,26328,332721,212296,24274,6029637
154,原神,BV1dM411t7Ls,《原神》磬弦奏华夜活动过场动画-「虹歌灯宴」,2023-01-21 19:00:00,237369,29963,11231,86240,61131,18413,2884711
155,原神,BV1bY411X7Tx,《原神》剧情PV-「余音萦心」,2023-01-21 18:00:06,357915,51878,15483,145116,106786,12323,3782371
156,原神,BV1Qd4y1V7he,《原神》2023新春短片-「鱼灯」,2023-01-19 18:00:00,599646,137257,19958,440196,146228,40913,4666323
157,原神,BV1jK411k79y,《原神》拾枝杂谈-「瑶瑶：樨馨云外飘」,2023-01-19 12:00:00,106754,3582,2973,10557,7559,3670,1057880
158,原神,BV13x4y1u7wJ,《原神》拾枝杂谈-「艾尔海森：诠辩深妙」,2023-01-18 12:00:00,133052,5692,5602,15749,12147,6494,1500272
159,原神,BV1uW4y1G7rM,《原神》角色演示-「艾尔海森：思而后行」,2023-01-17 12:00:56,513514,212060,35705,220451,142323,34818,8868236
160,原神,BV1ev4y117Ls,《原神》角色演示-「瑶瑶：仙桂莹澈」,2023-01-16 12:00:56,305784,63211,13204,59738,32927,10613,3340806
161,原神,BV1R84y187Y5,《原神》PV短片——「诸苦无隙」,2023-01-13 12:00:25,930980,395849,55394,581676,295637,55241,10237760
162,原神,BV1MM411c7m6,《原神》艾尔海森角色PV——「疑问与沉默」,2023-01-12 12:00:16,379788,95021,17026,109081,62168,15281,4290641
163,原神,BV1LP411F7pf,《原神》提瓦特风尚·衣装PV - 合页揽花,2023-01-07 12:00:00,200465,43516,10141,28707,19667,5897,2619647
164,原神,BV13g41147PS,《原神》3.4版本「磬弦奏华夜」前瞻特别节目,2023-01-06 22:00:00,149810,9563,7147,43995,20428,39843,2117500
165,原神,BV1RK41127AT,当然是原神了,2023-01-06 21:50:47,160339,39837,5840,24561,18553,11218,1962744
166,原神,BV13d4y1E7ro,《原神》海灯节定格动画-「庆佳节」,2023-01-06 21:40:00,251551,10264,4622,40641,26475,3443,2331197
167,原神,BV1fR4y127PT,《原神》3.4版本PV：「磬弦奏华夜」,2023-01-06 20:45:00,384622,64324,18823,130727,69357,29184,7709581
168,原神,BV1vd4y1a72B,《原神》EP - 信步待春之月,2022-12-27 12:00:00,187741,14810,8831,28093,16829,7637,1943938
169,原神,BV1tG411P79B,《原神》剧情PV-「秋津羽戏」,2022-12-19 18:00:15,210483,21673,10685,54517,39818,6766,2438397
170,原神,BV1uD4y1a7pt,TGA2022《原神》参选视频,2022-12-09 11:51:57,568278,79011,16493,165162,96015,8423,6000491
171,原神,BV1Cg411H73c,《原神》拾枝杂谈-「珐露珊：遗风有识」,2022-12-08 12:00:00,102396,2499,3536,10368,8030,2291,1419374
172,原神,BV1s44y1S7Br,《原神》拾枝杂谈-「流浪者：孰知风行处」,2022-12-07 12:00:00,159780,9083,8506,29386,25501,7071,2203650
173,原神,BV18M411B7is,《原神》角色演示-「珐露珊：机巧深诣」,2022-12-05 18:00:59,323268,60771,17391,74705,55281,11430,6284226
174,原神,BV1BW4y1u7CY,《原神》角色演示-「流浪者：今昔离索」,2022-12-05 12:00:12,449549,144061,38325,199116,148905,32132,8318148
175,原神,BV1J24y1k7Ky,《原神》流浪者角色PV——「灰烬」,2022-12-04 12:00:13,492528,152641,30451,222229,133202,24625,6450854
176,原神,BV1UK411R7Jo,《原神》新玩法预告PV：「来一局七圣召唤吧！」,2022-11-30 12:00:07,284126,91762,20834,66327,30632,8708,3933174
177,原神,BV1GG4y157df,《原神》3.3版本「六入尽明，诸相皆无」前瞻特别节目,2022-11-25 21:30:00,146714,10134,9330,29048,24257,30306,2904957
178,原神,BV12K411975v,《原神》3.3版本PV：「六入尽明，诸相皆无」,2022-11-25 20:45:22,277568,51509,19740,81673,60777,19535,8442058
179,原神,BV19M411r7K9,《原神》寻味之旅——「璃月食集」第二期,2022-11-22 12:00:31,248505,43214,8992,91995,44834,8695,2457918
180,原神,BV1bR4y1f7P2,《原神》EP - 妙狐徜徉之影,2022-11-19 12:00:00,149112,7674,7990,27728,17616,4146,1685049
181,原神,BV1U14y1H7hp,《原神》拾枝杂谈-「莱依拉：沉眠星河」,2022-11-18 18:00:00,96216,3083,4830,10894,7472,2893,1041317
182,原神,BV1RG4y1Z7ph,《原神》角色演示-「莱依拉：遥熠星轨」,2022-11-11 12:00:50,268082,39705,9628,46594,35541,6361,5667792
183,原神,BV14P4y1U7DY,古国守卫者——《原神》遗迹系列怪物创作的幕后,2022-11-07 12:00:00,180045,10438,8048,42281,18405,12955,1879742
184,原神,BV17D4y1t74j,《原神》过场动画-「折枝落梦」,2022-11-05 18:00:52,247171,40228,14653,129431,78283,8880,3589813
185,原神,BV1yV4y1371t,《原神》过场动画-「布耶尔最初的贤者」,2022-11-04 18:00:38,189768,16167,11488,49133,38301,9887,3101441
186,原神,BV1h14y1V7JX,《原神》拾枝杂谈-「纳西妲：遍解玄奥」,2022-11-02 12:00:00,166660,8340,10308,31393,18477,9503,2063815
187,原神,BV1PP4y1U7qA,《原神》角色演示-「纳西妲：无垠无忧」,2022-11-01 12:00:18,669091,255626,42415,432865,217228,48786,12325052
188,原神,BV1AG4y1h7Ap,《原神》纳西妲角色PV——「生日快乐」,2022-10-27 12:00:58,813112,344263,51952,491050,243269,67661,11244848
189,原神,BV1sV4y1576g,《原神》3.2版本「虚空鼓动，劫火高扬」前瞻特别节目,2022-10-23 21:40:00,133691,7039,9516,28017,25100,29552,2573371
190,原神,BV1QP4y1U7D2,《原神》3.2版本PV：「虚空鼓动，劫火高扬」,2022-10-23 20:45:49,260367,51967,21704,87520,49440,28724,7080012
191,原神,BV1VG411L7Kk,旅人的遐想——《原神》须弥音乐的幕后,2022-10-23 12:00:00,0,0,4247,0,0,6839,1246457
192,原神,BV1dP411N758,《原神》风物集短片-蒙德篇,2022-10-21 12:00:00,298994,34572,9443,101990,57914,6809,2664256
193,原神,BV14e411V7Bi,《原神》须弥篇OST「智妙明论之林」宣传MV,2022-10-20 12:00:00,121596,7949,3266,32794,18878,2659,1289649
194,原神,BV16g411h7F5,《原神》拾枝杂谈-「妮露：浮莲映波」,2022-10-14 18:00:00,103764,5002,9463,16907,9403,6145,1285469
195,原神,BV1AP411E773,《原神》角色演示-「妮露：莲舞纤姿」,2022-10-13 12:00:02,267356,76971,8429,100188,49547,16148,3877195
196,原神,BV1JT411P7gt,《原神》寻味之旅——「璃月食集」第一期,2022-10-09 12:00:02,299846,66224,12685,106164,52718,14127,2976431
197,原神,BV1NP411J7KM,《原神》妮露角色PV——「曼舞流连」,2022-10-07 12:00:06,353300,85704,17278,128186,56940,24058,4289578
198,原神,BV1wD4y1y7CZ,《原神》杯中遥吟之歌活动过场动画-「待风归，启佳酿」,2022-10-05 18:00:07,128114,8227,2961,35042,28837,3811,1352480
199,原神,BV1hW4y1e7Kx,《原神》剧情PV-「『神』意」,2022-10-04 18:00:17,339330,84374,13135,129843,112993,13844,5212309
200,原神,BV1MP411J7Zn,《原神》剧情PV-「沙中遗事」,2022-10-03 18:00:50,200026,19856,4792,55762,40883,5584,2479461
201,原神,BV14e411j7Fv,《原神》线上音乐会2022 - 无际之旅的旋律,2022-10-02 13:20:00,292315,38846,7727,216618,128304,44715,2980808
202,原神,BV1ye4y1H7p4,《原神》拾枝杂谈-「坎蒂丝：流金沙碛」,2022-09-29 12:00:00,76827,1562,2558,6904,4820,1876,719176
203,原神,BV1gG4y1x7QJ,《原神》提瓦特冒险纪念视频：旅行二周年手札,2022-09-28 18:00:00,144777,4274,5603,35889,22464,7829,1056906
204,原神,BV1qd4y1z79Y,《原神》拾枝杂谈-「赛诺：寂默狼行」,2022-09-28 12:00:00,81257,2268,4679,8265,6389,3506,921637
205,原神,BV1U14y1h7UE,《原神》角色演示-「赛诺：诛罪的引导」,2022-09-27 12:00:28,197576,37298,14686,47447,27672,12028,2622640
206,原神,BV1we411T74S,《原神》角色演示-「坎蒂丝：誓守之盾」,2022-09-26 12:00:09,186620,30866,8302,33238,21671,7507,2355930
207,原神,BV1XT411T7EA,《原神》线上音乐会2022 - 无际之旅的旋律（第二支预告）,2022-09-25 19:00:00,74869,3527,1615,9639,4753,728,565329
208,原神,BV1GN4y1K7n8,《原神》赛诺角色PV——「奉辞罚罪」,2022-09-22 12:00:48,252343,50958,8504,59509,36304,16374,3298294
209,原神,BV1ZV4y1M7ST,《原神》二周年配音演员祝福-「来自彼方的声音」,2022-09-17 19:00:00,240948,15908,6010,84203,64014,42869,2024278
210,原神,BV1Ye4y1k71c,终于可以玩原神了,2022-09-17 18:00:30,167570,36735,4793,27099,20101,7342,1635526
211,原神,BV1XP411H7dq,《原神》线上音乐会2022 - 无际之旅的旋律（预告）,2022-09-17 15:00:00,83759,4579,1739,8925,5132,601,638825
212,原神,BV1He4y1y76A,《原神》须弥篇OST「智妙明论之林」先导MV,2022-09-17 12:00:00,108295,12294,2261,34879,26305,1814,1068516
213,原神,BV1X14y1a7Dh,《原神》纪念PV-「荧荧微光」,2022-09-17 10:00:48,210337,17712,7093,57550,52082,9556,1911030
214,原神,BV1kG4y1q7Dy,《原神》3.1版本「赤土之王与三朝圣者」前瞻特别节目,2022-09-16 21:30:00,206790,17818,7223,87671,54267,88072,2836188
215,原神,BV1yd4y1u7ef,《原神》3.1版本PV：「赤土之王与三朝圣者」,2022-09-16 21:15:22,268333,55831,11110,92482,49648,37050,5593760
216,原神,BV1NT411u7n9,《原神》长期项目启动·概念PV,2022-09-16 20:55:22,440130,176650,21756,251776,112980,66599,5104842
217,原神,BV1ea411g7Se,得物×原神｜立「得」百货,2022-09-14 12:05:00,137888,20373,5178,6924,8787,2128,1762470
218,原神,BV1124y1o7ob,《原神》拾枝杂谈-「多莉：居奇持盈」,2022-09-09 18:00:00,119725,6991,4021,11523,8563,4999,1442676
219,原神,BV15V4y1p7E9,《原神》角色演示-「多莉：多谢惠顾！」,2022-09-02 12:00:33,281171,47189,6509,46642,32071,9032,3744869
220,原神,BV1fd4y137JR,必胜客×原神联动定格动画-「必胜邀约，风起之旅」,2022-08-29 12:03:19,141525,14272,7799,15706,15220,2071,1544683
221,原神,BV13B4y1474S,《原神》过场动画-「花神之舞」,2022-08-26 18:00:00,263541,47633,14164,105815,64767,8176,3222973
222,原神,BV1hg411r71S,《原神》拾枝杂谈-「柯莱：碧野晴翠」,2022-08-25 12:00:00,100624,2199,4424,9984,7442,2631,1043178
223,原神,BV1vG41147yP,《原神》拾枝杂谈-「提纳里：苍郁重林」,2022-08-24 18:00:00,111483,2595,8969,9845,7938,3265,1148527
224,原神,BV1zG41147eX,《原神》角色演示-「提纳里：巡览芳荃」,2022-08-23 12:00:30,238178,45385,18411,58616,35875,16580,2854156
225,原神,BV1iG4y1a7X4,《原神》角色演示-「柯莱：林薮新芽」,2022-08-22 12:00:02,309749,50721,11704,65201,38813,12070,4155385
226,原神,BV1914y1b7cV,《原神》提纳里角色PV——「书已尽言」,2022-08-18 12:00:05,278200,45999,16712,56596,32236,13656,2937553
227,原神,BV1GU4y1C7yu,《原神》须弥交响音乐现场,2022-08-14 12:00:00,273839,49423,9458,165294,88367,17281,3065596
228,原神,BV1f14y1b7F6,《原神》3.0版本「千朵玫瑰带来的黎明」前瞻特别节目,2022-08-13 21:11:25,188234,14383,8530,60441,25282,57839,2494938
229,原神,BV19a411P7zk,《原神》3.0版本PV：「千朵玫瑰带来的黎明」,2022-08-13 21:00:59,335301,58954,21566,120510,63804,39684,6681893
230,原神,BV1JN4y157MU,《原神》须弥CM短片,2022-08-11 12:00:19,541333,188307,43836,192704,98072,28236,6323387
231,原神,BV1Zd4y1K76h,《原神》EP - 硝彩盛放之光,2022-08-02 12:00:00,197890,15560,10063,51114,24010,29607,1719789
232,原神,BV1k94y1D73y,《原神》须弥前瞻短片03——明慧的序曲,2022-07-29 12:00:00,647142,253781,53990,250236,88618,78325,6876640
233,原神,BV1oB4y1k7zw,《原神》小剧场——「璃月雅集」第五期,2022-07-27 12:00:00,288303,34583,16224,80740,46782,74439,3101262
234,原神,BV1UU4y1i72S,《原神》须弥前瞻短片02——细雨与飞沙,2022-07-23 20:00:00,547250,148283,41170,250237,68161,46570,4551471
235,原神,BV11d4y1Q7BU,《原神》剧情PV-「辉金盛夏」,2022-07-19 18:00:50,233291,15445,18988,67332,45751,8889,2512407
236,原神,BV1gV4y1H7Qh,《原神》拾枝杂谈-「鹿野院平藏：疾风破局」,2022-07-13 12:00:00,118064,4094,12978,11586,9521,5969,1294446
237,原神,BV1GB4y1p7HC,《原神》EP - 拨云见日之曦,2022-07-12 12:00:00,291683,29001,19858,77041,41878,63150,2496850
238,原神,BV1mB4y1e7Lh,《原神·提瓦特篇》幕间PV-「冬夜愚戏」,2022-07-11 12:00:07,1185288,615222,134679,931707,457132,149699,17549023
239,原神,BV1e3411c7Xk,《原神》须弥前瞻短片01——神奇的草元素,2022-07-09 12:00:00,574433,188799,44558,137339,63416,28132,5696111
240,原神,BV1EV4y1n7tt,《原神》角色演示-「鹿野院平藏：风暴搜查线」,2022-07-08 12:00:27,249618,45313,13914,48518,35789,10302,3118853
241,原神,BV1rt4y1t7HC,《原神》提瓦特风尚·衣装PV - 幕夜暗像,2022-07-03 12:00:38,320543,55923,26215,59889,43492,8568,3998721
242,原神,BV1tS4y1n7eV,《原神》2.8版本「仲夏！幻夜？奇想曲！」前瞻特别节目,2022-07-02 21:30:00,170204,15895,16932,37324,20844,38527,2976604
243,原神,BV1yL4y1w7ut,《原神》2.8版本PV：「仲夏！幻夜？奇想曲！」,2022-07-02 20:40:35,221126,22873,19763,58650,32731,16667,7376362
244,原神,BV1St4y1h7nj,《原神》拾枝杂谈-「久岐忍：逐殃解厄」,2022-06-21 18:00:17,114541,3246,6750,12227,8263,3410,1206219
245,原神,BV1RZ4y1v7u7,《原神》EP - 花坂豪情之志,2022-06-20 11:59:59,127814,4864,6087,16704,10969,6962,1326779
246,原神,BV1mW4y1k7k9,《原神》角色演示-「久岐忍：百业通才」,2022-06-17 12:00:37,231490,22037,10886,42118,25586,6246,2708029
247,原神,BV1Uv4y1w73T,《原神》危途疑踪过场动画——「生死一刹」,2022-06-05 12:01:18,322504,49245,23783,175511,107932,16918,3839918
248,原神,BV1mW4y1C7eD,《原神》剧情PV-「惟余旧忆」,2022-06-02 18:01:16,488964,85104,36246,325203,176741,16046,6070560
249,原神,BV15r4y1x7hK,《原神》拾枝杂谈-「夜兰：弢迹匿光」,2022-05-31 12:00:00,119156,4409,10535,17559,9013,7248,1416631
250,原神,BV1tY4y1V7mt,《原神》角色演示-「夜兰：晦雨幽客行」,2022-05-30 12:00:59,307530,91089,33016,120645,57465,29098,4510421
251,原神,BV1zB4y197Ru,《原神》夜兰角色PV——「天网恢恢」,2022-05-25 12:00:40,344219,73681,20680,110904,58471,25068,4523283
252,原神,BV1j5411R775,《原神》2.7版本「荒梦藏虞渊」前瞻特别节目,2022-05-20 22:30:46,170509,7774,13024,31667,17945,27045,2388431
253,原神,BV18F411L7Nj,《原神》2.7版本PV：「荒梦藏虞渊」,2022-05-20 20:36:00,244537,31259,18756,72619,44082,19790,6498436
254,原神,BV1nY4y1a76M,《原神》EP - 白鹭儃伫之思,2022-04-19 12:00:00,153587,12536,17076,49936,25520,17664,1947445
255,原神,BV1ZF411g7EZ,《原神》PV短片——「雪霁逢椿」,2022-04-18 12:00:31,821773,267160,53130,602291,310386,96022,11059807
256,原神,BV1M5411S7Lg,《原神》剧情PV-「歌仙逸话」,2022-04-13 18:00:31,187268,8800,14824,55213,43455,5540,2368392
257,原神,BV1YY4y1H7wD,「纯真的歌谣」：《原神》稻妻篇OST2雾海纪行主题印象曲MV,2022-04-12 12:00:00,154958,17812,8204,67571,37142,3414,1476398
258,原神,BV1BY4y1q7Ko,《原神》拾枝杂谈-「神里绫人：镜中花月」,2022-03-30 12:00:00,113309,4726,13344,18791,11218,6835,1540562
259,原神,BV1wa41147eh,《原神》角色演示-「神里绫人：林隐泓洄」,2022-03-29 12:00:42,296767,104250,26653,123303,67856,35412,4947510
260,原神,BV1T94y1f7UE,《原神》神里绫人角色PV——「灯火照夜」,2022-03-24 12:00:43,339109,88082,24149,122419,67744,36084,4545861
261,原神,BV1bP4y1u7uQ,《原神》2.6版本「流风眷堇庭」前瞻特别节目,2022-03-18 21:20:08,141998,7579,11712,29551,19733,36423,2397792
262,原神,BV1Ni4y1y7Zp,《原神》2.6版本PV：「流风眷堇庭」,2022-03-18 20:40:52,206853,36422,23802,64607,38088,25692,6597950
263,原神,BV1UY411g7RU,《原神》EP - 天光澄寂之景,2022-03-08 12:00:11,153763,7592,16581,41796,22245,21656,1810729
264,原神,BV1ML411N7hm,《原神》EP - 浮岳映虹之波,2022-03-04 12:00:10,125431,6212,14001,25892,15213,8420,1397544
265,原神,BV1P5411Z7YU,《原神》拾枝杂谈-「八重神子：天狐嗤笑谭」,2022-02-16 12:00:02,172954,6247,144255,31129,16939,38933,3143567
266,原神,BV1M341177YQ,《原神》角色演示-「八重神子：仙狐宫司异闻录」,2022-02-15 12:00:13,398685,113322,49168,197607,92698,57916,5610386
267,原神,BV11b4y177H4,《原神》八重神子角色PV——「狐之所爱」,2022-02-10 12:01:04,569322,125216,48924,262277,130310,79783,6558291
268,原神,BV1xa411y71j,《原神》剧情CM短片,2022-02-04 22:01:39,544336,56511,21156,190990,141394,13750,5796755
269,原神,BV1Z34y1y7Hv,《原神》2.5版本「薄樱初绽时」前瞻特别节目,2022-02-04 21:30:08,213452,12486,24754,47999,31974,61396,3260378
270,原神,BV1TY411L7ZD,《原神》交响音乐会特别篇-「映春华章」,2022-02-04 21:00:07,270752,33524,12514,230487,124400,42358,2912257
271,原神,BV1Er4y1h7FX,《原神》2.5版本PV：「薄樱初绽时」,2022-02-04 20:35:00,270257,47528,29943,94391,49676,40247,5817053
272,原神,BV1Nr4y1Y7V5,《原神》飞彩镌流年活动过场动画-「岁华流彩」,2022-01-31 18:01:16,342422,53099,31108,246978,132948,49637,2952518
273,原神,BV1CL411F7r6,《原神》交响音乐会特别篇预告,2022-01-28 12:00:09,119380,6982,5468,24584,8826,1470,861477
274,原神,BV1V44y1s7FW,《原神》EP - 闲情雅趣之悦,2022-01-25 12:00:18,184869,9970,19146,48461,28171,35340,1596388
275,原神,BV1ZL4y147cB,《原神》EP - 仙泽麟行之迹,2022-01-21 12:00:14,226376,18108,19124,67897,33448,35354,1994757
276,原神,BV1xL411c7wn,戏中人间——《原神》云堇创作的幕后,2022-01-14 12:00:03,382220,31166,23382,298966,91469,37149,3080933
277,原神,BV1kS4y1T7kK,《原神》剧情PV-「神女劈观」,2022-01-06 18:00:17,2068477,749218,112429,2411084,1192582,204657,33494478
278,原神,BV1Lu411U7Eb,《原神》拾枝杂谈-「云堇：妙曲压台」,2022-01-06 12:00:11,174910,3759,9858,34669,16502,7436,1714106
279,原神,BV1pa411z7Py,《原神》拾枝杂谈-「申鹤：霜羽翩翾」,2022-01-04 19:33:08,160283,10988,17477,26563,13194,9204,1949734
280,原神,BV1K3411e7Mk,《原神》角色演示-「申鹤：闻鹤于野」,2022-01-04 12:00:07,282719,68810,32498,95368,51315,25023,4470802
281,原神,BV13P4y1n73c,《原神》EP - 祓恶片晌之安,2022-01-03 12:00:01,208280,18791,14855,61341,36065,18946,1960966
282,原神,BV1zu411m7Vk,《原神》角色演示-「云堇：虹章书真意」,2022-01-02 12:00:18,410429,66299,25875,198331,84585,18676,4920495
283,原神,BV1Vb4y1i7At,《原神》申鹤角色PV——「孤辰新梦」,2021-12-30 12:00:02,345474,71849,25193,123114,63431,30720,5355217
284,原神,BV1mL4y1n7ft,《原神》提瓦特风尚·衣装PV - 衣旋彩随,2021-12-27 12:00:01,247264,37694,16090,51835,30558,5756,3014943
285,原神,BV1xF411B7p5,《原神》2.4版本「飞彩镌流年」前瞻特别节目,2021-12-26 22:36:52,162643,11888,16525,46537,20860,23690,2347279
286,原神,BV1mZ4y1X7Rn,「雪峰胜景 星耀奇旅」——长白山活动现场预告,2021-12-26 21:40:12,129538,8297,5279,9927,7781,1047,1237417
287,原神,BV12D4y1c76E,《原神》2.4版本PV：「飞彩镌流年」,2021-12-26 20:40:13,274926,61353,35449,137057,62233,33952,7247906
288,原神,BV16P4y1H7dF,《原神》小剧场——「璃月雅集」第四期,2021-12-24 12:10:07,188831,9925,9385,48314,28882,30978,2539801
289,原神,BV1bg411w7ia,《原神》拾枝杂谈-「五郎：形胜战法」,2021-12-15 12:00:15,66856,1365,4058,6574,4856,2605,752370
290,原神,BV1sM4y1A77h,《原神》拾枝杂谈-「荒泷一斗：怪力乱神」,2021-12-14 18:00:02,90867,3478,9206,10857,7112,6703,1121218
291,原神,BV1wr4y1D7Mg,《原神》角色演示-「荒泷一斗：堂堂参上！」,2021-12-12 12:00:16,215459,41750,20225,61662,32659,20086,2987175
292,原神,BV1XY411p74c,《原神》角色演示-「五郎：尖耳常胜大将」,2021-12-11 12:00:08,144110,15670,9119,23696,17495,7918,1754590
293,原神,BV1tR4y1s77j,TGA2021《原神》参选视频,2021-12-10 20:37:08,485695,42559,24610,181730,86625,17928,4875740
294,原神,BV1db4y1i7jT,《原神》荒泷一斗角色PV——「就该这么演！」,2021-12-08 12:00:00,243339,52321,20963,63680,37236,19926,3736158
295,原神,BV17i4y1o787,《原神》EP - 冰涛骇浪之憩,2021-11-25 12:00:11,102356,2445,6814,17980,12283,5836,1254692
