序号,UP主名称,作品ID,作品标题,发布时间,获赞数,分享数,评论数,投币数,收藏数,弹幕数,播放数
296,原神,BV1pq4y1g7Hu,《原神》EP - 冰峰柔雪之绘,2021-11-24 12:00:17,82504,2288,5077,14352,10408,5808,833035
297,原神,BV1Mq4y1g7wE,《原神》小剧场——「蒙德茶会」第四期,2021-11-19 18:00:03,153924,7988,6919,36256,24788,29435,1950010
298,原神,BV1ZT4y197ko,《原神》2.3版本「皑尘与雪影」前瞻特别节目,2021-11-12 21:40:01,106911,7356,9788,16734,13891,27941,1924363
299,原神,BV19L4y1q7vS,《原神》2.3版本PV：「皑尘与雪影」,2021-11-12 20:40:10,143787,25970,21058,36537,23782,22512,4270551
300,原神,BV1C44y1i7Rw,《原神》拾枝杂谈-「托马：赤心红铠」,2021-11-02 18:00:03,75835,1772,8273,7352,5548,4186,855975
301,原神,BV1xq4y1R7mF,《原神》EP - 幽蝶留芳之处,2021-11-01 12:00:08,176203,10432,13463,53937,28590,43896,1828832
302,原神,BV1KQ4y1S7WS,《原神》角色演示-「托马：烈火捍御」,2021-10-29 12:00:06,172011,25138,12685,32830,22747,9144,2477671
303,原神,BV1TQ4y1z7g6,《原神》小剧场——「璃月雅集」第三期,2021-10-15 12:00:13,154139,10313,6901,40746,30203,19572,2322774
304,原神,BV1wq4y157oC,《原神》EP - 放浪不羁之客,2021-10-13 12:00:16,148342,7272,11769,27147,21356,15221,1702194
305,原神,BV1E44y1t7Kn,《原神》线上音乐会2021———「无际之旅的旋律」,2021-10-04 00:00:11,408441,48375,25036,389483,245122,90758,4029306
306,原神,BV1hh411H7k3,《原神》2.2版本「雾海悬谜境」前瞻特别节目,2021-10-03 22:35:17,100799,4651,12158,14745,11814,30983,1653110
307,原神,BV17b4y117dT,《原神》2.2版本PV：「雾海悬谜境」,2021-10-03 22:30:16,128433,9136,24416,24123,16743,21828,2244480
308,原神,BV1yR4y1p7WX,《原神》剧情PV-「人间至味」,2021-10-02 18:00:16,295201,43472,28427,196257,104135,14715,3104269
309,原神,BV1FQ4y167nb,《原神》宣传视频-远旅同行,2021-09-28 12:00:19,157302,8145,112176,30230,18060,28401,2435270
310,原神,BV1pu411f72B,《原神》线上音乐会预告-第三期,2021-09-26 19:00:27,73048,4315,9340,10034,4858,1019,780614
311,原神,BV13R4y1p7ZK,旅人的幽思——《原神》稻妻音乐的幕后,2021-09-24 18:00:18,92516,7627,6623,44314,16208,10984,808055
312,原神,BV1dL4y1b7f6,《原神》拾枝杂谈-「珊瑚宫心海：潋滟海汐」,2021-09-21 18:00:07,86603,3554,34905,9599,6886,9758,1177737
313,原神,BV1Eq4y1f7r9,「斩雾破竹」——《原神》稻妻OST战斗音乐MV,2021-09-21 12:00:11,142396,11653,7852,44121,26266,18796,1135612
314,原神,BV1z44y1b7cQ,《原神》角色演示-「珊瑚宫心海：千涛触月」,2021-09-20 12:00:19,206193,45313,32756,60699,31306,22534,2881939
315,原神,BV1gf4y1w79R,《原神》线下交响音乐会宣传片-「万籁汇响」,2021-09-17 12:00:04,105475,9446,5510,29768,14097,3508,905247
316,原神,BV1dM4y1g7L6,《原神》提瓦特冒险纪念视频：旅行周年手札,2021-09-16 12:10:06,204289,14622,12651,74306,40222,24486,1538528
317,原神,BV1Zf4y1c7sx,《原神》来自安柏和芭芭拉的「原神☆FES」邀请！,2021-09-16 12:00:18,155863,13069,7460,32510,23339,11327,1218631
318,原神,BV1oU4y1P7yd,《原神》珊瑚宫心海角色PV——「沧海一意」,2021-09-15 12:00:13,220070,49325,33598,60220,32202,26669,3173189
319,原神,BV1hf4y1P7mK,《原神》线上音乐会预告-第二期,2021-09-10 18:01:20,123119,9107,7534,17996,9561,1903,1295704
320,原神,BV1rL4y1h7nr,《原神》剧情PV-「许以臣民之梦」,2021-09-06 18:00:09,178729,13413,15327,46402,29427,10811,2147658
321,原神,BV1dQ4y1h7j4,《原神》拾枝杂谈-「九条裟罗：飞羽疾电」,2021-09-02 18:00:14,88952,1920,15042,7252,6059,3026,1055715
322,原神,BV1ty4y1G7qj,《原神》拾枝杂谈-「埃洛伊：异界冰辉」,2021-09-02 12:00:12,89881,5601,4778,5289,5674,3769,1085330
323,原神,BV1rb4y1m7My,《原神》拾枝杂谈-「雷电将军：鸣雷寂灭」,2021-09-01 12:00:12,134224,6647,24003,26114,14591,23284,1845282
324,原神,BV1kb4y1m7e7,《原神》角色演示-「雷电将军：净土裁断」,2021-08-30 20:55:48,434649,161593,44735,270077,134414,96869,8839755
325,原神,BV1Wg411L7xy,《原神》角色演示-「九条裟罗：雷闪之志」,2021-08-29 12:00:13,201741,33208,14372,40736,22390,12215,2746934
326,原神,BV11v411N7hv,《原神》角色演示-「埃洛伊：奇异狩猎」,2021-08-27 12:00:12,164549,33561,15632,14844,12656,7891,2448005
327,原神,BV1Q64y1e7WZ,《原神》线上音乐会预告,2021-08-26 08:00:00,149942,12218,8299,19297,13525,4450,1368991
328,原神,BV1Y3411B7SX,《原神》雷电将军角色PV——「噩梦」,2021-08-26 00:01:35,417181,142531,54069,219824,97831,101777,5954793
329,原神,BV1Cy4y1V7J6,寂远无妄之国：《原神》稻妻交响音乐现场,2021-08-21 12:00:04,186117,28203,13887,96907,64637,19555,2173898
330,原神,BV1GL4y1v7BP,《原神》2.1版本「韶光抚月，天下人间」前瞻特别节目,2021-08-20 22:50:14,140744,11191,19833,41439,22539,88700,2236933
331,原神,BV13Q4y1m7hj,《原来你也玩原神》第二季,2021-08-20 22:35:12,217424,64444,13464,73054,62486,14051,2751023
332,原神,BV1XQ4y1y7Wk,《原神》2.1版本PV：「韶光抚月，天下人间」,2021-08-20 15:58:59,242522,64492,50749,100059,53590,68496,6142441
333,原神,BV1UL411E7ox,《原神》拾枝杂谈-「早柚：滚滚风轮」,2021-08-11 12:00:19,125893,8005,12508,14130,9611,11408,1493466
334,原神,BV1Rb4y1z72n,《原神》拾枝杂谈-「宵宫：焰硝火语」,2021-08-10 18:00:14,107047,4920,45120,16508,9131,16353,1276498
335,原神,BV1Ro4y1S7f1,《原神》角色演示-「宵宫：真夏飞焰」,2021-08-08 12:45:05,274463,83259,46600,123534,60025,42729,4558526
336,原神,BV1564y1s7fQ,《原神》角色演示-「早柚：呜呼影貉遁」,2021-08-07 18:00:06,195632,47604,21961,37769,22103,16636,2925057
337,原神,BV1Dq4y1D7cr,《原神》宵宫角色PV——「鸣神岛夏天的象征」,2021-08-04 12:00:02,234329,57492,28942,86753,39894,33649,3014028
338,原神,BV1TM4y1T7sw,《原神》拾枝杂谈-「神里绫华：鹤舞冰华」,2021-07-21 12:00:09,120424,4252,23552,23631,11799,19894,1428034
339,原神,BV1w44y1m79B,《原神》角色演示-「神里绫华：寒椿吹雪」,2021-07-19 20:56:04,279442,85006,40369,142693,71428,65176,5396283
340,原神,BV1S54y1n7kz,潜心雕龙——《原神》若陀龙王创作的幕后,2021-07-16 12:00:00,213543,24728,27111,135958,45304,34861,1978722
341,原神,BV1io4y1X7HU,《原神》神里绫华角色PV——「白鹭归庭」,2021-07-15 12:00:14,336304,114902,37401,196520,83231,73857,4717286
342,原神,BV1Ao4y1X7mg,《原神》2.0版本「不动鸣神，泡影断灭」前瞻特别节目,2021-07-09 23:51:15,129500,9461,17807,40664,18249,37530,1892885
343,原神,BV1Lo4y1X7xY,《原神》2.0版本PV：「不动鸣神，泡影断灭」,2021-07-09 16:42:34,334545,129011,50077,217448,92203,55912,8262712
344,原神,BV15K4y1M7Xn,《原神》剧情PV-「追逐霆光的孤旅」,2021-07-04 12:00:18,121302,10994,16638,31441,20978,7381,1627652
345,原神,BV1cU4y137c4,《原神》拾枝杂谈-「枫原万叶：自在灵风」,2021-06-29 18:00:19,86239,5061,10688,16056,9277,13018,1085527
346,原神,BV1364y197Kt,《原神》角色演示-「枫原万叶：风流蕴藉」,2021-06-28 12:00:14,204422,64147,30847,114640,49024,31925,3132415
347,原神,BV1Lg41137kX,《原神》枫原万叶角色PV——「月下风来」,2021-06-23 12:00:05,255380,74204,37047,103175,59611,39314,5075162
348,原神,BV1rg411G7hE,《原神》EP - 炎夏炽宝之踪,2021-06-09 12:00:13,110293,4471,11967,26017,15610,13234,1454519
349,原神,BV1f54y137fG,《原神》提瓦特风尚·衣装PV - 海滨漫歌,2021-06-08 12:00:09,111596,11765,24342,18287,12029,2975,1517733
350,原神,BV1xg411G7i2,《原神》声优小剧场——「璃月雅集」第二期,2021-06-06 18:00:07,108422,9199,9060,32463,22779,26837,1284655
351,原神,BV1r44y1r77C,《原神》1.6版本「盛夏！海岛？大冒险！」特别节目——蒙德茶会SP,2021-05-28 21:40:03,92395,7095,18415,19815,12050,31191,1539095
352,原神,BV15v411V7ib,《原神》1.6版本PV：「盛夏！海岛？大冒险！」,2021-05-28 20:45:07,113785,21297,28407,30991,18935,17555,2785277
353,原神,BV1Sy4y1W7JQ,《原神》拾枝杂谈-「优菈：浪涌霜潮」,2021-05-18 18:00:06,76967,3170,35696,14561,8029,9405,1196360
354,原神,BV1Q54y157AT,《原神》角色演示-「优菈：闪灼的烛光」,2021-05-15 19:16:42,260253,112276,36470,130167,84536,40264,7000354
355,原神,BV17b4y1f7Lt,《原神》优菈角色PV——「深夜酒馆的邂逅」,2021-05-11 12:00:15,183690,43950,26076,70635,40782,34576,3338048
356,原神,BV13K4y1N7BM,《原神》剧情PV-「创龙点睛」,2021-04-29 12:00:02,129008,16497,14190,60849,37529,17815,2011184
357,原神,BV1PV411n7pv,《原神》拾枝杂谈-「烟绯：律火灼灼」,2021-04-28 12:00:09,67953,1919,7726,8793,6163,4725,904194
358,原神,BV1nh411m7yr,《原神》EP - 神岩阅世之行,2021-04-27 12:00:19,128517,10224,12730,44311,25502,31807,1512274
359,原神,BV18K4y1P7AB,《原神》全新角色演示-「烟绯：百法通明」,2021-04-22 12:00:15,131312,22275,21197,28792,20001,16112,2652666
360,原神,BV17y4y147fa,《原神》1.5版本「玉扉绕尘歌」特别节目——璃月雅集SP,2021-04-16 21:45:36,95357,10418,15444,21658,13230,38402,1640240
361,原神,BV1tU4y1h7KB,《原神》1.5版本PV：「玉扉绕尘歌」,2021-04-15 21:02:09,158073,30975,22114,54209,34265,39781,4535185
362,原神,BV1j54y1h77K,《原神》拾枝杂谈-「罗莎莉亚：噬罪幽影」,2021-04-06 18:00:01,70960,2790,6945,7814,5929,4379,908541
363,原神,BV16y4y1b7QJ,《原神》风花节活动实时过场动画-「万花成风」,2021-04-05 18:00:03,87977,4546,8165,22901,22818,1824,858695
364,原神,BV1Ni4y1N7yP,《原神》EP - 异乡流泊的武人,2021-04-05 12:00:17,109020,7425,10920,24533,17922,21050,1168024
365,原神,BV1FK411w7LC,《原神》宣传视频-愿前路无止境,2021-03-31 21:00:04,201614,13645,17477,56677,34894,4077,2258361
366,原神,BV16v41187dP,「山巅雪国的记忆」：《原神》龙脊雪山OST印象曲MV,2021-03-31 12:00:15,120454,15501,10922,68331,41247,4906,1330066
367,原神,BV1a5411w7Yz,《原神》全新角色演示-「罗莎莉亚：绝不加班」,2021-03-30 12:00:14,123978,23004,10077,19590,17205,6075,2212080
368,原神,BV1h5411P7hv,《原神》EP - 悠扬戏风之诗,2021-03-17 12:00:11,91516,3843,11017,23766,19684,14967,1163839
369,原神,BV1Zr4y1A7GK,《原神》1.4版本「风花的邀约」前瞻特别节目——蒙德茶会SP,2021-03-06 21:17:55,80022,8979,10413,16569,12650,32773,1271607
370,原神,BV1Kp4y1H7mu,KFC×原神｜异世相遇，尽享美味,2021-03-06 21:00:16,110451,16464,11770,8052,12119,2157,2091088
371,原神,BV1kN41197kT,《原神》1.4版本PV：「风花的邀约」,2021-03-06 20:45:11,115256,20849,14856,27198,18720,17100,2408929
372,原神,BV1o54y1h7Hq,《原神》拾枝杂谈-「胡桃：雪霁梅香」,2021-03-02 18:00:05,102156,5701,11819,21710,13585,16389,1502550
373,原神,BV1jU4y1p73u,《原神》角色演示-「胡桃：生人勿近」,2021-02-26 19:17:14,279056,72479,22180,138090,86206,42775,6622634
374,原神,BV1T5411K7Wc,《原神》胡桃角色PV—— 「吓到了吗？」,2021-02-26 18:52:16,426938,132238,46785,233201,128617,76730,8645084
375,原神,BV14K4y1Q7PH,《原神》EP -「千帆齐聚之城」,2021-02-17 12:00:11,106942,10101,19039,28431,21078,8385,1439291
376,原神,BV1Ni4y1F7F1,《原神》拾枝杂谈-「魈：降魔大圣」,2021-02-03 11:23:43,81735,6950,13455,15870,10881,16161,1429830
377,原神,BV1Th411C7ex,《原神》角色演示- 「魈：历劫祓恶」,2021-02-02 11:30:03,274482,140157,52759,127739,94430,54237,8501083
378,原神,BV1k5411J7u2,《原神》声优小剧场——「璃月雅集」第一期,2021-01-29 12:00:00,96312,4842,9789,23584,13697,20065,1229065
379,原神,BV1A5411J7Ab,《原神》剧情PV-「护法仙众夜叉录」,2021-01-27 12:00:06,122838,33991,22287,46955,25848,25909,2610018
380,原神,BV1rN411d7Qi,《原神》EP - 和煦希望之风,2021-01-25 12:00:03,86355,5971,10563,22487,23578,3698,1148918
381,原神,BV14N411d7tH,《原神》1.3新版本前瞻特别节目——「明霄升海平」,2021-01-22 21:42:21,72804,14605,12758,20523,9827,35424,1289752
382,原神,BV1jy4y117H2,《原神》互动视频- 偶像的治愈魔法,2021-01-22 21:15:01,166265,26324,7797,80976,61235,16549,1659377
383,原神,BV1Gv4y1f7gK,《原神》1.3版本PV：「明霄升海平」,2021-01-22 20:35:06,105970,27941,15437,31537,20291,26285,3066379
384,原神,BV1so4y1o71K,覆雪之路——《原神》龙脊雪山场景的幕后,2021-01-20 18:00:18,93526,6329,7106,31948,11780,5369,1052785
385,原神,BV1aK411u7AD,《原神》EP - 晨光拂晓之时,2021-01-19 13:54:40,75120,5958,4683,15241,14843,5168,1052363
386,原神,BV1Zv411W7gB,《原神》拾枝杂谈-「甘雨：顾步幽岩」,2021-01-12 18:00:06,63841,3418,12566,11331,7784,10310,1045081
387,原神,BV1xT4y1N7Wn,《原神》角色演示-「甘雨：梦里韶光」,2021-01-11 11:38:23,214505,83051,24483,100781,73420,34614,6701133
388,原神,BV1ua4y1H714,《原神》甘雨角色PV—— 「璃月港的一夜」,2021-01-06 12:00:18,220103,75578,28675,102070,65339,34385,5292084
389,原神,BV1wA411x7yN,《原神》拾枝杂谈-「阿贝多：白垩之子」,2020-12-23 17:16:35,36034,1533,22621,3510,3103,8761,867355
390,原神,BV1BA411s7yV,《原神》角色演示-「阿贝多：白皑中的冥想」,2020-12-22 11:57:07,60066,12296,26070,13007,12353,18787,1890131
391,原神,BV1yp4y1q7gA,《原神》阿贝多角色PV—— 「写生与创生」,2020-12-17 12:00:04,71971,15041,31609,11959,10459,36420,1926583
392,原神,BV1uy4y1B743,《原神》1.2新版本特别节目——蒙德茶会SP,2020-12-11 21:49:46,53679,3773,11605,6987,7123,24720,1194154
393,原神,BV12a4y1W721,《原神》1.2版本PV：「白垩与黑龙」,2020-12-11 20:55:30,60108,10602,23909,9617,8161,19201,2405514
394,原神,BV1FK4y177Nz,《原神》「从驻足到远行」景区联动纪录片-桂林篇,2020-12-02 18:09:46,34744,6020,3991,4747,3259,4325,475647
395,原神,BV1g5411G7c4,《原神》拾枝杂谈-「钟离：炊金馔玉」,2020-12-01 18:00:16,57080,12079,19980,7668,8294,28279,1499475
396,原神,BV1hD4y1X7Rm,《原神》角色演示-「钟离：听书人」,2020-11-30 12:00:08,1531614,1139762,359228,1266706,763982,281324,52909828
397,原神,BV1aZ4y1G7wn,《原神》声优小剧场——「蒙德茶会」第三期,2020-11-28 12:00:17,62997,4601,3512,13693,10504,11549,995008
398,原神,BV1X54y1z7M4,《原神》全新角色演示-「辛焱：非常摇滚的选择」,2020-11-27 11:51:53,51425,5494,6623,4045,4698,1798,1152091
399,原神,BV19541137yy,《原神》钟离角色PV-「额外的记账」,2020-11-23 11:52:04,121850,34310,13524,41062,34827,22923,2852028
400,原神,BV1aZ4y1V7f2,《原神》拾枝杂谈-「『公子』：魔王武装」,2020-11-11 10:57:22,41016,3409,6884,3473,4729,4201,980258
401,原神,BV1wy4y1z7f3,《原神》角色演示-「公子：去往至冬的信」,2020-11-10 12:00:08,64547,16566,12660,11997,14315,7121,1779844
402,原神,BV14K411G7Eq,《原神》EP - 轻风诉说之事,2020-11-08 12:00:00,59357,5556,3469,13151,14532,2670,929456
403,原神,BV1e54y1r7ur,《原神》全新角色演示-「迪奥娜：酒业杀手」,2020-11-07 21:59:18,72320,17759,5972,8446,9942,3422,1916886
404,原神,BV1xp4y16761,旅人的弦歌——《原神》璃月音乐的幕后,2020-11-05 12:00:06,44409,4045,3155,14761,8081,2670,552910
405,原神,BV1J5411V7or,《原神》新角色「公子」预告PV-「百无禁忌」,2020-11-04 12:00:51,77980,12698,6702,10083,14953,8089,2197294
406,原神,BV1sa4y1s7V8,《原神》「从驻足到远行」景区联动纪录片-黄龙篇,2020-10-31 18:36:29,38258,2633,2471,5136,3887,1889,474644
407,原神,BV18Z4y1V7rB,《原神》1.1版本前瞻直播录像,2020-10-30 22:02:42,39948,3504,7301,4546,5971,15131,884533
408,原神,BV1ff4y1B7Wb,《原神》1.1版本PV：「迫近的客星」,2020-10-30 21:00:53,83556,28428,10913,16384,15486,12993,3689144
409,原神,BV17t4y1i7Hm,《原神》拾枝杂谈-「可莉：蹦蹦炸弹」,2020-10-20 18:00:59,44834,2643,5602,5631,5372,5777,902476
410,原神,BV18D4y1d7Uz,《原神》角色演示-「可莉：哒哒哒」,2020-10-19 12:00:21,142203,52051,11730,41418,40888,21509,4261066
411,原神,BV1o5411j7hR,《原神》声优小剧场——「蒙德茶会」第二期,2020-10-16 12:00:28,60539,2590,3208,13374,11519,10481,906507
412,原神,BV1wa4y1L7BW,《原神》可莉角色PV-「太阳逃跑的夜晚」,2020-10-13 12:00:12,142737,42357,9738,46921,43430,23199,4345364
413,原神,BV1sA41177rm,《原神》拾枝杂谈-「刻晴：天街巡游」,2020-10-07 12:00:47,55233,4952,7640,7415,7741,9666,1341422
414,原神,BV1iv411y7EC,《原神》拾枝杂谈-「莫娜：星命定轨」,2020-10-05 12:00:18,33625,1771,5378,2464,3243,2345,705131
415,原神,BV1Ep4y1Y7Cd,《原神》拾枝杂谈-「七七：度厄真符」,2020-10-04 12:00:52,46329,4027,5731,3870,5451,4062,1009565
416,原神,BV1cy4y1C7pq,《原神》拾枝杂谈-「琴：引领之风」,2020-10-03 12:00:03,34815,1711,3431,2371,3578,2336,748448
417,原神,BV1RD4y1R7iZ,《原神》拾枝杂谈-「迪卢克：黎明」,2020-10-02 12:35:09,49100,4065,4611,4425,6327,6233,1243312
418,原神,BV1B54y117Wn,《原神》「从驻足到远行」景区联动纪录片-张家界篇,2020-09-30 19:08:47,33263,4303,4878,5035,3675,2372,442291
419,原神,BV1BZ4y1N7Rd,《原神》拾枝杂谈-「温迪：高天之歌」,2020-09-29 12:00:49,34719,1624,4293,3150,4596,3581,716678
420,原神,BV1At4y1q7UQ,《原神·提瓦特篇》主线章节预告PV-「足迹」,2020-09-28 08:00:49,110729,64463,15952,47390,47784,8411,5342236
421,原神,BV1pk4y1172e,原神 – 公测1.0实机画面预告片| 东京电玩展2020,2020-09-27 20:50:32,22417,2268,3439,1860,1598,989,426759
422,原神,BV1st4y1q7V4,《原神》角色演示-「温迪：诗人的工作」,2020-09-26 12:00:56,61275,7532,4002,11540,16132,7355,1579737
423,原神,BV1xk4y117tg,《原神》温迪角色PV-「四方之风」,2020-09-21 12:00:31,81308,13324,6822,15228,23252,8975,2212946
424,原神,BV1764y1F71Y,《原神》主题PV- 「珍珠之歌」,2020-09-15 10:00:35,26113,1202,4907,2845,4202,369,450859
425,原神,BV1JV411m7tc,《原神》剧情PV-「微风与少年」,2020-09-14 12:00:09,39866,3885,2914,6739,9156,991,677177
426,,BV1Dt4y1i76t,,2020-09-13 10:00:46,157053,28633,13376,32947,35769,15746,6043175
427,原神,BV1Mf4y1D7pN,《原神》全新角色演示-「莫娜：命运与生活」,2020-09-12 12:00:22,45831,4243,2490,4617,6676,1694,1380232
428,原神,BV13a4y1E7AS,《原神》全新角色演示-「七七：冰寒流转」,2020-09-04 12:00:37,59496,13507,3763,8158,10354,3665,1943245
429,原神,BV1it4y1S7sF,《原神》「从驻足到远行」景区联动预告,2020-08-31 11:54:20,32713,3930,3700,3606,2814,684,518508
430,原神,BV1fy4y1C7gU,《原神》璃月音乐录制实拍视频,2020-08-29 12:00:28,132078,34222,8758,68315,60431,18859,2245821
431,原神,BV1PK4y1a7oC,《原神》剧情预告：我们终将重逢,2020-08-28 20:35:03,94168,40546,10964,29308,33263,4940,2326961
432,原神,BV16A411Y7Vy,《原神》声优小剧场——「蒙德茶会」第一期,2020-08-14 12:00:41,53799,2627,2613,11431,12471,9420,815853
433,原神,BV1zZ4y1M7Qr,原神 – 实机画面预告片| PlayStation 4,2020-08-07 10:00:20,37636,14918,7639,7188,4919,3058,1040676
434,原神,BV145411Y7Mj,《原神》音乐动态视频-「蒙德一日」,2020-07-03 12:00:30,23963,1190,1640,5323,4937,1264,371600
435,原神,BV1eA411v78z,旅人的韵律——《原神》游戏音乐的幕后,2020-06-11 10:00:27,30664,5205,5250,13264,7294,2243,421202
436,原神,BV12A41187WG,《原神》海灯节活动实时过场动画-「汇成明霄」,2020-04-03 12:00:20,29672,8399,4380,9836,6243,1676,483071
437,原神,BV1Pz411b7cB,《原神》全新角色演示-「菲谢尔：幽夜之光」,2020-04-02 12:00:46,33232,4286,4207,10682,4992,1672,563979
438,原神,BV1tp411A7xb,《原神》全新角色预告-「菲谢尔还不能输」,2020-04-01 12:00:08,41909,15670,5011,11677,9387,5074,815653
439,原神,BV1D7411d7MJ,《原神》全新开场动画-「空中荧火」,2020-03-18 10:30:50,58110,19052,13487,17289,10859,4212,1296241
440,原神,BV1iE411L7LJ,《原神》「再临测试」前瞻，与安柏一同尽情观赏璃月风光！,2020-03-12 12:00:47,37904,7717,7586,13932,6412,5380,549246
441,原神,BV1MJ411H77i,《原神》新地区预告-「浮世浮生千岩间」,2020-01-14 15:10:24,34279,15165,10323,16742,8101,4817,2748849
442,原神,BV1SJ411t7kb,《原神》全新角色预告-「天星不照之处」,2019-12-20 12:00:47,21250,4045,4715,7009,3350,1236,518887
443,原神,BV1k4411f7LY,《原神》跟着安柏一起探索提瓦特大陆吧！,2019-08-01 19:00:56,19694,6198,14053,10008,5052,5199,549074
444,原神,BV1P4411T73c,《原神》序章PV：捕风的异乡人,2019-06-08 11:31:11,28877,22992,28801,17078,8968,8575,1563189
